"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Валидация полей","Поле Месяц","Верхняя граница срока действия","0","0","1","0","0"
"Валидация полей","Поле Год","Верхняя граница срока действия","0","0","1","0","0"
"Оплата в кредит","Оплата картой отсутствующей в системе","Всплывающее окно со статусом операции","1","0","0","0","0"
"","","","3","0","1","0","0"
"Оплата картой","Оплата картой отсутствующей в системе","Отсутствие новых данных в столицах ","0","0","1","0","0"
"Оплата в кредит","Оплата разрешенной картой","Всплывающее окно со статусом операции","0","0","1","0","0"
"Валидация полей","Поле имени","Пустое поле","0","0","1","0","0"
"Валидация полей","Поле имени","Имя кириллицей","1","0","0","0","0"
"Оплата в кредит","","Корректность занесения данных в таблицу order_entity","1","0","0","0","0"
"Валидация полей","Поле Год","Выше верхней границы срока действия","1","0","0","0","0"
"Валидация полей","Поле месяца","Пустое поле","1","0","0","0","0"
"Оплата картой","","Корректность занесения данных в таблицу order_entity","0","0","1","0","0"
"Валидация полей","Поле Год","Выше верхней  границы срока действия","1","0","0","0","0"
"Оплата картой","Оплата запрещенной картой","Всплывающее окно со статусом операции","1","0","0","0","0"
"Валидация полей","Поле CVC","Пустое поле","1","0","0","0","0"
"Валидация полей","Поле месяца","Поле месяца со значением '00'","1","0","0","0","0"
"Валидация полей","Поле номера карты","Пустое поле","1","0","0","0","0"
"Оплата в кредит","Оплата картой отсутствующей в системе","Отсутствие новых данных в столицах ","0","0","1","0","0"
"Оплата в кредит","Оплата запрещенной картой","Всплывающее окно со статусом операции","1","0","0","0","0"
"Оплата картой","Оплата разрешенной картой","Статус операции в БД","0","0","1","0","0"
"Валидация полей","Поле года","Нижняя граница срока действия","0","0","1","0","0"
"Валидация полей","Поле месяца","Нижняя граница срока действия","0","0","1","0","0"
"Валидация полей","Поле года","Пустое поле","1","0","0","0","0"
"Оплата в кредит","Оплата разрешенной картой","Статус операции в БД","0","0","1","0","0"
"Оплата картой","Оплата картой отсутствующей в системе","Всплывающее окно со статусом операции","1","0","0","0","0"
"Оплата картой","Оплата разрешенной картой","Всплывающее окно со статусом операции","0","0","1","0","0"
"Оплата картой","Оплата запрещенной картой","Статус операции в БД","0","0","1","0","0"
"Оплата в кредит","Оплата запрещенной картой","Статус опеоации в БД","0","0","1","0","0"
"Валидация полей","Поле месяца","Ниже нижней  границы срока действия","0","0","1","0","0"
